category,id
Clarks,34077
U.S. Polo Assn.,35645
Lotus Herbals,57577
Parx,51145
U.S. Polo Assn.,17154
Nike,15317
Indigo Nation,31657
Locomotive,16508
Mark Taylor,17557
CASIO,25331
Catwalk,39873
Catwalk,19031
Puma,4038
Gini and Jony,34188
Wrangler,20255
Skybags,21253
Fiorelli,52756
Gini and Jony,40151
Colorbar,55944
Woodland,22886
ADIDAS,32426
Grendha,32836
Deborah,49092
Femella,33996
Mother Earth,24537
Rreverie,58121
Fabindia,30732
Gini and Jony,36725
Murcia,21985
Lotto,31218
Enroute,35807
Highlander,18197
Murcia,21940
Chhota Bheem,18530
Mark Taylor,27151
Span,40657
Catwalk,18559
United Colors of Benetton,19332
U.S. Polo Assn.,19825
Arrow,23031
OTLS,36026
Murcia,2651
Sepia,33193
Gini and Jony,4921
Arrow,41256
Stoln,50238
U.S. Polo Assn.,17181
Classic Polo,20664
W,36238
Flying Machine,42394
Scullers,27542
Spinn,36430
W,42643
Fila,29202
Maxima,36774
Mother Earth,42524
OTLS,36063
United Colors of Benetton,36520
Nina Ricci,36700
Urban Yoga,28456
Fila,3671
Fastrack,43151
Scullers,27920
Fila,4344
Idee,28390
Jockey,28085
Lee Cooper,2821
Lino Perros,43389
Vero Moda,43631
Maxima,36772
Peter England,28589
Fossil,36886
Fila,4343
United Colors of Benetton,29193
French Connection,43511
Fastrack,43164
