ID,uri
5,gs://bq-mm-benchmark-mmqa-images/0aa3794a64a4e5a965406bf7eec17f23.jpg
6,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
6,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg
1,gs://bq-mm-benchmark-mmqa-images/0df5cc80bcd2a27b91224d658ad3a7b5.jpg
6,gs://bq-mm-benchmark-mmqa-images/0aa3794a64a4e5a965406bf7eec17f23.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg
5,gs://bq-mm-benchmark-mmqa-images/0e3bd1f5e63abf955b3f902bdc0add68.jpg
5,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c8eb9cd33e9447edabf369bf0609f04.jpg
11,gs://bq-mm-benchmark-mmqa-images/0dd82dd6dec70831338aff8f5187449c.jpg
1,gs://bq-mm-benchmark-mmqa-images/0e55b397c7770893544eb92ddc680b23.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg
6,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg
11,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c2da2a740161136aaf915beb6c19106.jpg
6,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg
5,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg
11,gs://bq-mm-benchmark-mmqa-images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg
1,gs://bq-mm-benchmark-mmqa-images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c8eb9cd33e9447edabf369bf0609f04.jpg
1,gs://bq-mm-benchmark-mmqa-images/0dd82dd6dec70831338aff8f5187449c.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c21c34914735826da603a2cfc57eb43.jpg
5,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c141eb84b21daae6c6062bda51fd80d.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c141eb84b21daae6c6062bda51fd80d.jpg
5,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg
5,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg
1,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg
1,gs://bq-mm-benchmark-mmqa-images/0c2da2a740161136aaf915beb6c19106.jpg
4,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg
6,gs://bq-mm-benchmark-mmqa-images/0caf5d289498683b81aa216ee99c251e.jpg
11,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg
5,gs://bq-mm-benchmark-mmqa-images/0cb9414197494feedcd71b646c8c84cb.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c21c34914735826da603a2cfc57eb43.jpg
4,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg
5,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg
1,gs://bq-mm-benchmark-mmqa-images/0b256915936f8a7be8fbd9292104763b.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c0fbc00f99235ec607b16e17f10979f.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c0fbc00f99235ec607b16e17f10979f.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg
6,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c89ca3bb811f418c54ced12ba79dbea.jpg
4,gs://bq-mm-benchmark-mmqa-images/0a259908f0d108cd11a98a884a10b33c.jpg
4,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg
1,gs://bq-mm-benchmark-mmqa-images/0d4a9de9497f50ca68f84fa967b41fb2.jpg
1,gs://bq-mm-benchmark-mmqa-images/0c9b4d169ebf6db45752c66ad16f568c.jpg
1,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c89ca3bb811f418c54ced12ba79dbea.jpg
5,gs://bq-mm-benchmark-mmqa-images/0ba22c5e934592d718f1ff9087bf6161.jpg
5,gs://bq-mm-benchmark-mmqa-images/0bccae18d1bc23b9e560891520b2c3dd.jpg
4,gs://bq-mm-benchmark-mmqa-images/0a5476cae1df80dbf9edce2935f934b2.jpg
11,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg
5,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg
5,gs://bq-mm-benchmark-mmqa-images/0caf5d289498683b81aa216ee99c251e.jpg
6,gs://bq-mm-benchmark-mmqa-images/0bf8dc8a2ea59458ce518928642251a6.jpg
11,gs://bq-mm-benchmark-mmqa-images/0ae33ebeef3b42eb5d00d948a54e08d7.jpg
4,gs://bq-mm-benchmark-mmqa-images/0a86139ce572199fc2407a51d137639c.jpg
5,gs://bq-mm-benchmark-mmqa-images/0b1eaf0cadce1b185f1c1e179b406eef.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a9a20c1ee2a00eb504b22ef77b6dd31.jpg
6,gs://bq-mm-benchmark-mmqa-images/0e3bd1f5e63abf955b3f902bdc0add68.jpg
1,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg
